dataset,loss,noise_rate,seed,accuracy
dermamnist,CCE,0.0,42,0.7321695760598503
dermamnist,MAE,0.0,42,0.6688279301745635
dermamnist,GCE(q=0.7),0.0,42,0.6693266832917706
dermamnist,TruncGCE,0.0,42,0.6693266832917706
dermamnist,SCE,0.0,42,0.7022443890274315
dermamnist,TPDD-CCE,0.0,42,0.7231920199501247
dermamnist,SDIV,0.0,42,0.6688279301745635
dermamnist,TSCCE,0.0,42,0.7082294264339152
dermamnist,FCL,0.0,42,0.7256857855361596
dermamnist,CCE,0.1,42,0.6952618453865337
dermamnist,MAE,0.1,42,0.6688279301745635
dermamnist,GCE(q=0.7),0.1,42,0.6693266832917706
dermamnist,TruncGCE,0.1,42,0.6738154613466334
dermamnist,SCE,0.1,42,0.6992518703241896
dermamnist,TPDD-CCE,0.1,42,0.6987531172069825
dermamnist,SDIV,0.1,42,0.6688279301745635
dermamnist,TSCCE,0.1,42,0.7062344139650872
dermamnist,FCL,0.1,42,0.7137157107231921
dermamnist,ForwardT,0.1,42,0.7042394014962593
dermamnist,CCE,0.2,42,0.6847880299251871
dermamnist,MAE,0.2,42,0.6688279301745635
dermamnist,GCE(q=0.7),0.2,42,0.6703241895261846
dermamnist,TruncGCE,0.2,42,0.6693266832917706
dermamnist,SCE,0.2,42,0.6962593516209477
dermamnist,TPDD-CCE,0.2,42,0.6902743142144638
dermamnist,SDIV,0.2,42,0.6688279301745635
dermamnist,TSCCE,0.2,42,0.7057356608478803
dermamnist,FCL,0.2,42,0.7017456359102244
dermamnist,ForwardT,0.2,42,0.6922693266832918
dermamnist,CCE,0.3,42,0.685286783042394
dermamnist,MAE,0.3,42,0.6688279301745635
dermamnist,GCE(q=0.7),0.3,42,0.6688279301745635
dermamnist,TruncGCE,0.3,42,0.6693266832917706
dermamnist,SCE,0.3,42,0.6957605985037406
dermamnist,TPDD-CCE,0.3,42,0.686783042394015
dermamnist,SDIV,0.3,42,0.6688279301745635
dermamnist,TSCCE,0.3,42,0.7047381546134663
dermamnist,FCL,0.3,42,0.7072319201995012
dermamnist,ForwardT,0.3,42,0.6932668329177057
dermamnist,CCE,0.4,42,0.6802992518703241
dermamnist,MAE,0.4,42,0.6688279301745635
dermamnist,GCE(q=0.7),0.4,42,0.6693266832917706
dermamnist,TruncGCE,0.4,42,0.6693266832917706
dermamnist,SCE,0.4,42,0.6872817955112219
dermamnist,TPDD-CCE,0.4,42,0.6788029925187032
dermamnist,SDIV,0.4,42,0.6897755610972569
dermamnist,TSCCE,0.4,42,0.683291770573566
dermamnist,FCL,0.4,42,0.6872817955112219
dermamnist,ForwardT,0.4,42,0.6688279301745635
