dataset,beta,lam,seed,accuracy
dermamnist,0.02,-0.8,42,0.6688279301745635
dermamnist,0.02,-0.4,42,0.714214463840399
dermamnist,0.02,0.0,42,0.7286783042394015
dermamnist,0.05,-0.8,42,0.6688279301745635
dermamnist,0.05,-0.4,42,0.71571072319202
dermamnist,0.05,0.0,42,0.7231920199501247
dermamnist,0.1,-0.8,42,0.6688279301745635
dermamnist,0.1,-0.4,42,0.7331670822942643
dermamnist,0.1,0.0,42,0.7206982543640897
dermamnist,0.2,-0.8,42,0.6713216957605985
dermamnist,0.2,-0.4,42,0.7286783042394015
dermamnist,0.2,0.0,42,0.7177057356608478
dermamnist,0.2,0.2,42,0.71571072319202
dermamnist,0.5,-0.8,42,0.6688279301745635
dermamnist,0.5,-0.4,42,0.7052369077306733
dermamnist,0.5,0.0,42,0.7112219451371571
dermamnist,0.5,0.2,42,0.714713216957606
