dataset,loss,noise_rate,seed,accuracy
pathmnist,CCE,0.0,42,0.8302228412256267
pathmnist,MAE,0.0,42,0.784958217270195
pathmnist,GCE(q=0.7),0.0,42,0.8224233983286908
pathmnist,TruncGCE,0.0,42,0.782033426183844
pathmnist,SCE,0.0,42,0.8306406685236769
pathmnist,TPDD-CCE,0.0,42,0.8210306406685237
pathmnist,SDIV,0.0,42,0.8260445682451254
pathmnist,TSCCE,0.0,42,0.8225626740947075
pathmnist,FCL,0.0,42,0.8360724233983287
pathmnist,CCE,0.1,42,0.8103064066852368
pathmnist,MAE,0.1,42,0.48760445682451253
pathmnist,GCE(q=0.7),0.1,42,0.8302228412256267
pathmnist,TruncGCE,0.1,42,0.7923398328690808
pathmnist,SCE,0.1,42,0.8164345403899721
pathmnist,TPDD-CCE,0.1,42,0.8289693593314763
pathmnist,SDIV,0.1,42,0.827158774373259
pathmnist,TSCCE,0.1,42,0.8256267409470752
pathmnist,FCL,0.1,42,0.8318941504178273
pathmnist,ForwardT,0.1,42,0.8363509749303621
pathmnist,CCE,0.2,42,0.8112813370473537
pathmnist,MAE,0.2,42,0.4268802228412256
pathmnist,GCE(q=0.7),0.2,42,0.8154596100278552
pathmnist,TruncGCE,0.2,42,0.7786908077994429
pathmnist,SCE,0.2,42,0.8201949860724234
pathmnist,TPDD-CCE,0.2,42,0.8254874651810585
pathmnist,SDIV,0.2,42,0.8185236768802229
pathmnist,TSCCE,0.2,42,0.813091922005571
pathmnist,FCL,0.2,42,0.8225626740947075
pathmnist,ForwardT,0.2,42,0.8243732590529248
pathmnist,CCE,0.3,42,0.8201949860724234
pathmnist,MAE,0.3,42,0.4403899721448468
pathmnist,GCE(q=0.7),0.3,42,0.8121169916434541
pathmnist,TruncGCE,0.3,42,0.7949860724233984
pathmnist,SCE,0.3,42,0.8447075208913649
pathmnist,TPDD-CCE,0.3,42,0.8186629526462396
pathmnist,SDIV,0.3,42,0.8104456824512535
pathmnist,TSCCE,0.3,42,0.8108635097493037
pathmnist,FCL,0.3,42,0.8332869080779944
pathmnist,ForwardT,0.3,42,0.811142061281337
pathmnist,CCE,0.4,42,0.8240947075208913
pathmnist,MAE,0.4,42,0.7235376044568245
pathmnist,GCE(q=0.7),0.4,42,0.8162952646239554
pathmnist,TruncGCE,0.4,42,0.8107242339832869
pathmnist,SCE,0.4,42,0.8327298050139276
pathmnist,TPDD-CCE,0.4,42,0.8183844011142062
pathmnist,SDIV,0.4,42,0.8197771587743733
pathmnist,TSCCE,0.4,42,0.8126740947075209
pathmnist,FCL,0.4,42,0.8299442896935934
pathmnist,ForwardT,0.4,42,0.8168523676880223
