dataset,loss,noise_rate,accuracy,beta,lam
mnist,SDIV,0.0,0.9812,0.05,-0.8
mnist,CCE,0.0,0.9825,0.05,-0.8
mnist,GCE,0.0,0.9816,0.05,-0.8
mnist,TDPDSCCE,0.0,0.9789,0.05,-0.8
mnist,SDIV,0.1,0.9799,0.05,-0.8
mnist,CCE,0.1,0.9717,0.05,-0.8
mnist,GCE,0.1,0.9781,0.05,-0.8
mnist,TDPDSCCE,0.1,0.9755,0.05,-0.8
mnist,SDIV,0.2,0.9804,0.05,-0.8
mnist,CCE,0.2,0.9658,0.05,-0.8
mnist,GCE,0.2,0.9775,0.05,-0.8
mnist,TDPDSCCE,0.2,0.9708,0.05,-0.8
mnist,SDIV,0.3,0.9713,0.05,-0.8
mnist,CCE,0.3,0.9566,0.05,-0.8
mnist,GCE,0.3,0.9723,0.05,-0.8
mnist,TDPDSCCE,0.3,0.9535,0.05,-0.8
mnist,SDIV,0.4,0.9662,0.05,-0.8
mnist,CCE,0.4,0.9468,0.05,-0.8
mnist,GCE,0.4,0.9699,0.05,-0.8
mnist,TDPDSCCE,0.4,0.9437,0.05,-0.8
