dataset,loss,epsilon,accuracy
mnist,SDIV,0.0,0.9828
mnist,SDIV,0.00392156862745098,0.9747
mnist,SDIV,0.00784313725490196,0.9641
mnist,SDIV,0.01568627450980392,0.9299
mnist,SDIV,0.03137254901960784,0.8063
mnist,CCE,0.0,0.9844
mnist,CCE,0.00392156862745098,0.9759
mnist,CCE,0.00784313725490196,0.9652
mnist,CCE,0.01568627450980392,0.9275
mnist,CCE,0.03137254901960784,0.7888
mnist,GCE,0.0,0.9809
mnist,GCE,0.00392156862745098,0.9735
mnist,GCE,0.00784313725490196,0.964
mnist,GCE,0.01568627450980392,0.9371
mnist,GCE,0.03137254901960784,0.8308
mnist,TDPDSCCE,0.0,0.9827
mnist,TDPDSCCE,0.00392156862745098,0.9728
mnist,TDPDSCCE,0.00784313725490196,0.9586
mnist,TDPDSCCE,0.01568627450980392,0.9165
mnist,TDPDSCCE,0.03137254901960784,0.7777
