dataset,model_key,battery,noise_type,noise_rate,loss,loss_value,acc_clean_labels,acc_noisy_labels,q
PathMNIST,MedSigLIP,A-Clean,Clean,0,CCE,2.160915136,0.23,0.23,
PathMNIST,MedSigLIP,A-Clean,Clean,0,MAE,0.848845363,0.23,0.23,
PathMNIST,MedSigLIP,A-Clean,Clean,0,GCE(q=0.7),1.066434979,0.23,0.23,
PathMNIST,MedSigLIP,A-Clean,Clean,0,TruncGCE,1.066870093,0.23,0.23,
PathMNIST,MedSigLIP,A-Clean,Clean,0,SCE,8.034246445,0.23,0.23,
PathMNIST,MedSigLIP,A-Clean,Clean,0,SDIV,2.655221224,0.23,0.23,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0,CCE,2.160915136,0.23,0.23,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0,MAE,0.848845363,0.23,0.23,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0,GCE(q=0.7),1.066434979,0.23,0.23,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0,TruncGCE,1.066870093,0.23,0.23,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0,SCE,8.034246445,0.23,0.23,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0,SDIV,2.655221224,0.23,0.23,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0,ForwardT,2.160915136,0.23,0.23,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0.2,CCE,2.248323917,0.23,0.200833333,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0.2,MAE,0.858125031,0.23,0.200833333,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0.2,GCE(q=0.7),1.083303928,0.23,0.200833333,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0.2,TruncGCE,1.083753228,0.23,0.200833333,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0.2,SCE,8.128456116,0.23,0.200833333,
PathMNIST,MedSigLIP,B-Uniform,Uniform,0.2,SDIV,2.714120865,0.23,0.200833333,
