dataset,model_key,loss,noise_type,noise_rate,loss_mean,acc_clean,acc_noisy
DermaMNIST,CLIP,CCE,ClassDep,0.1,2.064267397,0.136666667,0.128333333
DermaMNIST,CLIP,CCE,ClassDep,0.2,2.061910629,0.136666667,0.125
DermaMNIST,CLIP,CCE,ClassDep,0.3,2.067587614,0.136666667,0.120833333
DermaMNIST,CLIP,CCE,ClassDep,0.4,2.071181536,0.136666667,0.1175
DermaMNIST,CLIP,CCE,Clean,0,2.064163208,0.136666667,0.136666667
DermaMNIST,CLIP,CCE,Uniform,0,2.064163208,0.136666667,0.136666667
DermaMNIST,CLIP,CCE,Uniform,0.2,2.069644928,0.136666667,0.13
DermaMNIST,CLIP,CCE,Uniform,0.4,2.072131872,0.136666667,0.138333333
DermaMNIST,CLIP,CCE,Uniform,0.6,2.085595608,0.136666667,0.128333333
DermaMNIST,CLIP,ForwardT,ClassDep,0.1,2.045963526,0.136666667,0.128333333
DermaMNIST,CLIP,ForwardT,ClassDep,0.2,2.028865099,0.136666667,0.125
DermaMNIST,CLIP,ForwardT,ClassDep,0.3,2.019659758,0.136666667,0.120833333
DermaMNIST,CLIP,ForwardT,ClassDep,0.4,2.005750418,0.136666667,0.1175
DermaMNIST,CLIP,ForwardT,Uniform,0,2.06416297,0.136666667,0.136666667
DermaMNIST,CLIP,ForwardT,Uniform,0.2,2.02089715,0.136666667,0.13
DermaMNIST,CLIP,ForwardT,Uniform,0.4,1.986276865,0.136666667,0.138333333
DermaMNIST,CLIP,ForwardT,Uniform,0.6,1.964752197,0.136666667,0.128333333
DermaMNIST,CLIP,ForwardThat,ClassDep,0.1,1.908476591,0.136666667,0.128333333
DermaMNIST,CLIP,ForwardThat,ClassDep,0.2,1.912936211,0.136666667,0.125
DermaMNIST,CLIP,ForwardThat,ClassDep,0.3,1.916860342,0.136666667,0.120833333
DermaMNIST,CLIP,ForwardThat,ClassDep,0.4,1.91958952,0.136666667,0.1175
DermaMNIST,CLIP,ForwardThat,Uniform,0.2,1.910740972,0.136666667,0.13
DermaMNIST,CLIP,ForwardThat,Uniform,0.4,1.913972259,0.136666667,0.138333333
DermaMNIST,CLIP,ForwardThat,Uniform,0.6,1.918475389,0.136666667,0.128333333
DermaMNIST,CLIP,GCE(q=0.7),ClassDep,0.1,1.076315284,0.136666667,0.128333333
DermaMNIST,CLIP,GCE(q=0.7),ClassDep,0.2,1.075872421,0.136666667,0.125
DermaMNIST,CLIP,GCE(q=0.7),ClassDep,0.3,1.077531815,0.136666667,0.120833333
DermaMNIST,CLIP,GCE(q=0.7),ClassDep,0.4,1.078213215,0.136666667,0.1175
DermaMNIST,CLIP,GCE(q=0.7),Clean,0,1.075862408,0.136666667,0.136666667
DermaMNIST,CLIP,GCE(q=0.7),Uniform,0,1.075862408,0.136666667,0.136666667
DermaMNIST,CLIP,GCE(q=0.7),Uniform,0.2,1.076838136,0.136666667,0.13
DermaMNIST,CLIP,GCE(q=0.7),Uniform,0.4,1.076677322,0.136666667,0.138333333
DermaMNIST,CLIP,GCE(q=0.7),Uniform,0.6,1.07896173,0.136666667,0.128333333
DermaMNIST,CLIP,MAE,ClassDep,0.1,0.860843122,0.136666667,0.128333333
DermaMNIST,CLIP,MAE,ClassDep,0.2,0.860651791,0.136666667,0.125
DermaMNIST,CLIP,MAE,ClassDep,0.3,0.861679733,0.136666667,0.120833333
DermaMNIST,CLIP,MAE,ClassDep,0.4,0.862045825,0.136666667,0.1175
DermaMNIST,CLIP,MAE,Clean,0,0.860455155,0.136666667,0.136666667
DermaMNIST,CLIP,MAE,Uniform,0,0.860455155,0.136666667,0.136666667
DermaMNIST,CLIP,MAE,Uniform,0.2,0.861037135,0.136666667,0.13
DermaMNIST,CLIP,MAE,Uniform,0.4,0.860818505,0.136666667,0.138333333
DermaMNIST,CLIP,MAE,Uniform,0.6,0.861898899,0.136666667,0.128333333
DermaMNIST,CLIP,SCE,ClassDep,0.1,8.13508606,0.136666667,0.128333333
DermaMNIST,CLIP,SCE,ClassDep,0.2,8.133087158,0.136666667,0.125
DermaMNIST,CLIP,SCE,ClassDep,0.3,8.143122673,0.136666667,0.120833333
DermaMNIST,CLIP,SCE,ClassDep,0.4,8.146854401,0.136666667,0.1175
DermaMNIST,CLIP,SCE,Clean,0,8.131500244,0.136666667,0.136666667
DermaMNIST,CLIP,SCE,Uniform,0,8.131500244,0.136666667,0.136666667
DermaMNIST,CLIP,SCE,Uniform,0.2,8.13740921,0.136666667,0.13
DermaMNIST,CLIP,SCE,Uniform,0.4,8.135643959,0.136666667,0.138333333
DermaMNIST,CLIP,SCE,Uniform,0.6,8.146942139,0.136666667,0.128333333
DermaMNIST,CLIP,SDIV,ClassDep,0.1,2.723320961,0.136666667,0.128333333
DermaMNIST,CLIP,SDIV,ClassDep,0.2,2.721877813,0.136666667,0.125
DermaMNIST,CLIP,SDIV,ClassDep,0.3,2.727951288,0.136666667,0.120833333
DermaMNIST,CLIP,SDIV,ClassDep,0.4,2.73030901,0.136666667,0.1175
DermaMNIST,CLIP,SDIV,Clean,0,2.72142458,0.136666667,0.136666667
DermaMNIST,CLIP,SDIV,Uniform,0,2.72142458,0.136666667,0.136666667
DermaMNIST,CLIP,SDIV,Uniform,0.2,2.724903584,0.136666667,0.13
DermaMNIST,CLIP,SDIV,Uniform,0.4,2.724012136,0.136666667,0.138333333
DermaMNIST,CLIP,SDIV,Uniform,0.6,2.731604099,0.136666667,0.128333333
DermaMNIST,CLIP,TruncGCE,ClassDep,0.1,1.07679534,0.136666667,0.128333333
DermaMNIST,CLIP,TruncGCE,ClassDep,0.2,1.076352239,0.136666667,0.125
DermaMNIST,CLIP,TruncGCE,ClassDep,0.3,1.078012943,0.136666667,0.120833333
DermaMNIST,CLIP,TruncGCE,ClassDep,0.4,1.07869494,0.136666667,0.1175
DermaMNIST,CLIP,TruncGCE,Clean,0,1.076342225,0.136666667,0.136666667
DermaMNIST,CLIP,TruncGCE,Uniform,0,1.076342225,0.136666667,0.136666667
DermaMNIST,CLIP,TruncGCE,Uniform,0.2,1.077318668,0.136666667,0.13
DermaMNIST,CLIP,TruncGCE,Uniform,0.4,1.077157855,0.136666667,0.138333333
DermaMNIST,CLIP,TruncGCE,Uniform,0.6,1.079444051,0.136666667,0.128333333
DermaMNIST,MedSigLIP,CCE,ClassDep,0.1,1.890720844,0.199166667,0.1975
DermaMNIST,MedSigLIP,CCE,ClassDep,0.2,1.907986403,0.199166667,0.1875
DermaMNIST,MedSigLIP,CCE,ClassDep,0.3,1.927081466,0.199166667,0.175
DermaMNIST,MedSigLIP,CCE,ClassDep,0.4,1.940011144,0.199166667,0.166666667
DermaMNIST,MedSigLIP,CCE,Clean,0,1.884301543,0.199166667,0.199166667
DermaMNIST,MedSigLIP,CCE,Uniform,0,1.884301543,0.199166667,0.199166667
DermaMNIST,MedSigLIP,CCE,Uniform,0.2,1.910623193,0.199166667,0.195833333
DermaMNIST,MedSigLIP,CCE,Uniform,0.4,1.934314609,0.199166667,0.180833333
DermaMNIST,MedSigLIP,CCE,Uniform,0.6,1.946469545,0.199166667,0.16
DermaMNIST,MedSigLIP,ForwardT,ClassDep,0.1,1.893635869,0.199166667,0.1975
DermaMNIST,MedSigLIP,ForwardT,ClassDep,0.2,1.917258382,0.199166667,0.1875
DermaMNIST,MedSigLIP,ForwardT,ClassDep,0.3,1.942552924,0.199166667,0.175
DermaMNIST,MedSigLIP,ForwardT,ClassDep,0.4,1.967174172,0.199166667,0.166666667
DermaMNIST,MedSigLIP,ForwardT,Uniform,0,1.884301543,0.199166667,0.199166667
DermaMNIST,MedSigLIP,ForwardT,Uniform,0.2,1.910342097,0.199166667,0.195833333
DermaMNIST,MedSigLIP,ForwardT,Uniform,0.4,1.927503943,0.199166667,0.180833333
DermaMNIST,MedSigLIP,ForwardT,Uniform,0.6,1.936378002,0.199166667,0.16
DermaMNIST,MedSigLIP,ForwardThat,ClassDep,0.1,1.895227075,0.199166667,0.1975
DermaMNIST,MedSigLIP,ForwardThat,ClassDep,0.2,1.900644183,0.199166667,0.1875
DermaMNIST,MedSigLIP,ForwardThat,ClassDep,0.3,1.906485438,0.199166667,0.175
DermaMNIST,MedSigLIP,ForwardThat,ClassDep,0.4,1.911392927,0.199166667,0.166666667
DermaMNIST,MedSigLIP,ForwardThat,Uniform,0.2,1.901300311,0.199166667,0.195833333
DermaMNIST,MedSigLIP,ForwardThat,Uniform,0.4,1.907284379,0.199166667,0.180833333
DermaMNIST,MedSigLIP,ForwardThat,Uniform,0.6,1.912676692,0.199166667,0.16
DermaMNIST,MedSigLIP,GCE(q=0.7),ClassDep,0.1,1.03938508,0.199166667,0.1975
DermaMNIST,MedSigLIP,GCE(q=0.7),ClassDep,0.2,1.043714643,0.199166667,0.1875
DermaMNIST,MedSigLIP,GCE(q=0.7),ClassDep,0.3,1.048551679,0.199166667,0.175
DermaMNIST,MedSigLIP,GCE(q=0.7),ClassDep,0.4,1.051801801,0.199166667,0.166666667
DermaMNIST,MedSigLIP,GCE(q=0.7),Clean,0,1.037737727,0.199166667,0.199166667
DermaMNIST,MedSigLIP,GCE(q=0.7),Uniform,0,1.037737727,0.199166667,0.199166667
DermaMNIST,MedSigLIP,GCE(q=0.7),Uniform,0.2,1.044537187,0.199166667,0.195833333
DermaMNIST,MedSigLIP,GCE(q=0.7),Uniform,0.4,1.050632954,0.199166667,0.180833333
DermaMNIST,MedSigLIP,GCE(q=0.7),Uniform,0.6,1.054403663,0.199166667,0.16
DermaMNIST,MedSigLIP,MAE,ClassDep,0.1,0.841734231,0.199166667,0.1975
DermaMNIST,MedSigLIP,MAE,ClassDep,0.2,0.844160557,0.199166667,0.1875
DermaMNIST,MedSigLIP,MAE,ClassDep,0.3,0.846881509,0.199166667,0.175
DermaMNIST,MedSigLIP,MAE,ClassDep,0.4,0.84871316,0.199166667,0.166666667
DermaMNIST,MedSigLIP,MAE,Clean,0,0.840785444,0.199166667,0.199166667
DermaMNIST,MedSigLIP,MAE,Uniform,0,0.840785444,0.199166667,0.199166667
DermaMNIST,MedSigLIP,MAE,Uniform,0.2,0.844651043,0.199166667,0.195833333
DermaMNIST,MedSigLIP,MAE,Uniform,0.4,0.8481251,0.199166667,0.180833333
DermaMNIST,MedSigLIP,MAE,Uniform,0.6,0.850413144,0.199166667,0.16
DermaMNIST,MedSigLIP,SCE,ClassDep,0.1,7.941730022,0.199166667,0.1975
DermaMNIST,MedSigLIP,SCE,ClassDep,0.2,7.965805531,0.199166667,0.1875
DermaMNIST,MedSigLIP,SCE,ClassDep,0.3,7.992775917,0.199166667,0.175
DermaMNIST,MedSigLIP,SCE,ClassDep,0.4,8.010937691,0.199166667,0.166666667
DermaMNIST,MedSigLIP,SCE,Clean,0,7.932350636,0.199166667,0.199166667
DermaMNIST,MedSigLIP,SCE,Uniform,0,7.932350636,0.199166667,0.199166667
DermaMNIST,MedSigLIP,SCE,Uniform,0.2,7.970585823,0.199166667,0.195833333
DermaMNIST,MedSigLIP,SCE,Uniform,0.4,8.004952431,0.199166667,0.180833333
DermaMNIST,MedSigLIP,SCE,Uniform,0.6,8.027241707,0.199166667,0.16
DermaMNIST,MedSigLIP,SDIV,ClassDep,0.1,2.584758759,0.199166667,0.1975
DermaMNIST,MedSigLIP,SDIV,ClassDep,0.2,2.60006237,0.199166667,0.1875
DermaMNIST,MedSigLIP,SDIV,ClassDep,0.3,2.617184401,0.199166667,0.175
DermaMNIST,MedSigLIP,SDIV,ClassDep,0.4,2.628692627,0.199166667,0.166666667
DermaMNIST,MedSigLIP,SDIV,Clean,0,2.578884125,0.199166667,0.199166667
DermaMNIST,MedSigLIP,SDIV,Uniform,0,2.578884125,0.199166667,0.199166667
DermaMNIST,MedSigLIP,SDIV,Uniform,0.2,2.603042126,0.199166667,0.195833333
DermaMNIST,MedSigLIP,SDIV,Uniform,0.4,2.624712706,0.199166667,0.180833333
DermaMNIST,MedSigLIP,SDIV,Uniform,0.6,2.638445377,0.199166667,0.16
DermaMNIST,MedSigLIP,TruncGCE,ClassDep,0.1,1.03938508,0.199166667,0.1975
DermaMNIST,MedSigLIP,TruncGCE,ClassDep,0.2,1.043714643,0.199166667,0.1875
DermaMNIST,MedSigLIP,TruncGCE,ClassDep,0.3,1.048551679,0.199166667,0.175
DermaMNIST,MedSigLIP,TruncGCE,ClassDep,0.4,1.051801801,0.199166667,0.166666667
DermaMNIST,MedSigLIP,TruncGCE,Clean,0,1.037737727,0.199166667,0.199166667
DermaMNIST,MedSigLIP,TruncGCE,Uniform,0,1.037737727,0.199166667,0.199166667
DermaMNIST,MedSigLIP,TruncGCE,Uniform,0.2,1.044537187,0.199166667,0.195833333
DermaMNIST,MedSigLIP,TruncGCE,Uniform,0.4,1.050632954,0.199166667,0.180833333
DermaMNIST,MedSigLIP,TruncGCE,Uniform,0.6,1.054403543,0.199166667,0.16
PathMNIST,CLIP,CCE,ClassDep,0.1,2.399400949,0.181666667,0.189166667
PathMNIST,CLIP,CCE,ClassDep,0.2,2.400533915,0.181666667,0.1775
PathMNIST,CLIP,CCE,ClassDep,0.3,2.390260458,0.181666667,0.171666667
PathMNIST,CLIP,CCE,ClassDep,0.4,2.387994766,0.181666667,0.160833333
PathMNIST,CLIP,CCE,Clean,0,2.417057276,0.181666667,0.181666667
PathMNIST,CLIP,CCE,Uniform,0,2.417057276,0.181666667,0.181666667
PathMNIST,CLIP,CCE,Uniform,0.2,2.415989637,0.181666667,0.176666667
PathMNIST,CLIP,CCE,Uniform,0.4,2.406692743,0.181666667,0.156666667
PathMNIST,CLIP,CCE,Uniform,0.6,2.431145906,0.181666667,0.139166667
PathMNIST,CLIP,ForwardT,ClassDep,0.1,2.314341784,0.181666667,0.189166667
PathMNIST,CLIP,ForwardT,ClassDep,0.2,2.269185543,0.181666667,0.1775
PathMNIST,CLIP,ForwardT,ClassDep,0.3,2.235064745,0.181666667,0.171666667
PathMNIST,CLIP,ForwardT,ClassDep,0.4,2.227290392,0.181666667,0.160833333
PathMNIST,CLIP,ForwardT,Uniform,0,2.417057276,0.181666667,0.181666667
PathMNIST,CLIP,ForwardT,Uniform,0.2,2.278176785,0.181666667,0.176666667
PathMNIST,CLIP,ForwardT,Uniform,0.4,2.215188742,0.181666667,0.156666667
PathMNIST,CLIP,ForwardT,Uniform,0.6,2.199375868,0.181666667,0.139166667
PathMNIST,CLIP,ForwardThat,ClassDep,0.1,1.890758514,0.181666667,0.189166667
PathMNIST,CLIP,ForwardThat,ClassDep,0.2,1.893637776,0.181666667,0.1775
PathMNIST,CLIP,ForwardThat,ClassDep,0.3,1.895301104,0.181666667,0.171666667
PathMNIST,CLIP,ForwardThat,ClassDep,0.4,1.898421526,0.181666667,0.160833333
PathMNIST,CLIP,ForwardThat,Uniform,0.2,1.895079851,0.181666667,0.176666667
PathMNIST,CLIP,ForwardThat,Uniform,0.4,1.901751399,0.181666667,0.156666667
PathMNIST,CLIP,ForwardThat,Uniform,0.6,1.912670135,0.181666667,0.139166667
PathMNIST,CLIP,GCE(q=0.7),ClassDep,0.1,1.109456062,0.181666667,0.189166667
PathMNIST,CLIP,GCE(q=0.7),ClassDep,0.2,1.11126554,0.181666667,0.1775
PathMNIST,CLIP,GCE(q=0.7),ClassDep,0.3,1.111244559,0.181666667,0.171666667
PathMNIST,CLIP,GCE(q=0.7),ClassDep,0.4,1.112875581,0.181666667,0.160833333
PathMNIST,CLIP,GCE(q=0.7),Clean,0,1.112256289,0.181666667,0.181666667
PathMNIST,CLIP,GCE(q=0.7),Uniform,0,1.112256289,0.181666667,0.181666667
PathMNIST,CLIP,GCE(q=0.7),Uniform,0.2,1.113443255,0.181666667,0.176666667
PathMNIST,CLIP,GCE(q=0.7),Uniform,0.4,1.115241766,0.181666667,0.156666667
PathMNIST,CLIP,GCE(q=0.7),Uniform,0.6,1.12238729,0.181666667,0.139166667
PathMNIST,CLIP,MAE,ClassDep,0.1,0.871789277,0.181666667,0.189166667
PathMNIST,CLIP,MAE,ClassDep,0.2,0.873093069,0.181666667,0.1775
PathMNIST,CLIP,MAE,ClassDep,0.3,0.873553872,0.181666667,0.171666667
PathMNIST,CLIP,MAE,ClassDep,0.4,0.874863327,0.181666667,0.160833333
PathMNIST,CLIP,MAE,Clean,0,0.873126864,0.181666667,0.181666667
PathMNIST,CLIP,MAE,Uniform,0,0.873126864,0.181666667,0.181666667
PathMNIST,CLIP,MAE,Uniform,0.2,0.873994052,0.181666667,0.176666667
PathMNIST,CLIP,MAE,Uniform,0.4,0.875862837,0.181666667,0.156666667
PathMNIST,CLIP,MAE,Uniform,0.6,0.880009353,0.181666667,0.139166667
PathMNIST,CLIP,SCE,ClassDep,0.1,8.269414902,0.181666667,0.189166667
PathMNIST,CLIP,SCE,ClassDep,0.2,8.28153801,0.181666667,0.1775
PathMNIST,CLIP,SCE,ClassDep,0.3,8.284755707,0.181666667,0.171666667
PathMNIST,CLIP,SCE,ClassDep,0.4,8.296588898,0.181666667,0.160833333
PathMNIST,CLIP,SCE,Clean,0,8.283501625,0.181666667,0.181666667
PathMNIST,CLIP,SCE,Uniform,0,8.283501625,0.181666667,0.181666667
PathMNIST,CLIP,SCE,Uniform,0.2,8.291381836,0.181666667,0.176666667
PathMNIST,CLIP,SCE,Uniform,0.4,8.307664871,0.181666667,0.156666667
PathMNIST,CLIP,SCE,Uniform,0.6,8.34829998,0.181666667,0.139166667
