dataset,beta,lam,seed,accuracy
pathmnist,0.02,-0.8,42,0.7786908077994429
pathmnist,0.02,-0.4,42,0.8323119777158774
pathmnist,0.02,0.0,42,0.8367688022284122
pathmnist,0.05,-0.8,42,0.8260445682451254
pathmnist,0.05,-0.4,42,0.8410863509749303
pathmnist,0.05,0.0,42,0.8210306406685237
pathmnist,0.1,-0.8,42,0.8151810584958217
pathmnist,0.1,-0.4,42,0.836908077994429
pathmnist,0.1,0.0,42,0.8206128133704735
pathmnist,0.2,-0.8,42,0.8245125348189415
pathmnist,0.2,-0.4,42,0.8240947075208913
pathmnist,0.2,0.0,42,0.8332869080779944
pathmnist,0.2,0.2,42,0.8259052924791086
pathmnist,0.5,-0.8,42,0.8165738161559889
pathmnist,0.5,-0.4,42,0.8261838440111421
pathmnist,0.5,0.0,42,0.8263231197771588
pathmnist,0.5,0.2,42,0.8260445682451254
