part,dataset,loss,noise_rate,seed,elapsed_s,best_acc,wall_offset_s
B,nlp:Emotion,CCE,0,42,6.281291008,0.5725,12.1219008
B,nlp:Emotion,MAE,0,42,3.987095594,0.576,16.40220237
B,nlp:Emotion,GCE(q=0.7),0,42,3.966037273,0.582,20.65177488
B,nlp:Emotion,TruncGCE,0,42,3.874448299,0.581,24.77801108
B,nlp:Emotion,SCE,0,42,4.0236516,0.568,29.06737399
B,nlp:Emotion,TPDD-CCE,0,42,3.969904661,0.5715,33.30012536
B,nlp:Emotion,SDIV,0,42,4.051917315,0.578,37.65321326
B,nlp:Emotion,TSCCE,0,42,4.055582285,0.578,41.99358582
B,nlp:Emotion,FCL,0,42,4.084936857,0.577,46.3517077
B,nlp:PubMedQA,CCE,0,42,6.061146259,0.56,56.04914927
B,nlp:PubMedQA,MAE,0,42,3.172966957,0.553333333,59.49555397
B,nlp:PubMedQA,GCE(q=0.7),0,42,3.150836945,0.553333333,62.92984605
B,nlp:PubMedQA,TruncGCE,0,42,3.058200598,0.58,66.25721741
B,nlp:PubMedQA,SCE,0,42,3.134863377,0.553333333,69.65165687
B,nlp:PubMedQA,TPDD-CCE,0,42,3.056386471,0.553333333,73.00221753
B,nlp:PubMedQA,SDIV,0,42,3.121217012,0.553333333,76.38972116
B,nlp:PubMedQA,TSCCE,0,42,3.024861097,0.56,79.69865251
B,nlp:PubMedQA,FCL,0,42,3.047905684,0.553333333,83.01700926
